comuna_cut,comuna_nombre,region_cut,provincia
01101,Iquique,01,Iquique
01107,Alto Hospicio,01,Iquique
01401,Pozo Almonte,01,Tamarugal
01402,Camiña,01,Tamarugal
01403,Colchane,01,Tamarugal
01404,Huara,01,Tamarugal
01405,Pica,01,Tamarugal
02101,Antofagasta,02,Antofagasta
02102,Mejillones,02,Antofagasta
02103,Sierra Gorda,02,Antofagasta
02104,Taltal,02,Antofagasta
02201,Calama,02,El Loa
02202,Ollagüe,02,El Loa
02203,San Pedro de Atacama,02,El Loa
02301,Tocopilla,02,Tocopilla
02302,María Elena,02,Tocopilla
03101,Copiapó,03,Copiapó
03102,Caldera,03,Copiapó
03103,Tierra Amarilla,03,Copiapó
03201,Chañaral,03,Chañaral
03202,Diego de Almagro,03,Chañaral
03301,Vallenar,03,Huasco
03302,Alto del Carmen,03,Huasco
03303,Freirina,03,Huasco
03304,Huasco,03,Huasco
04101,La Serena,04,Elqui
04102,Coquimbo,04,Elqui
04103,Andacollo,04,Elqui
04104,La Higuera,04,Elqui
04105,Paiguano,04,Elqui
04106,Vicuña,04,Elqui
04201,Illapel,04,Choapa
04202,Canela,04,Choapa
04203,Los Vilos,04,Choapa
04204,Salamanca,04,Choapa
04301,Ovalle,04,Limarí
04302,Combarbalá,04,Limarí
04303,Monte Patria,04,Limarí
04304,Punitaqui,04,Limarí
04305,Río Hurtado,04,Limarí
05101,Valparaíso,05,Valparaíso
05102,Casablanca,05,Valparaíso
05103,Concón,05,Valparaíso
05104,Juan Fernández,05,Valparaíso
05105,Puchuncaví,05,Valparaíso
05107,Quintero,05,Valparaíso
05109,Viña del Mar,05,Valparaíso
05201,Isla de Pascua,05,Isla de Pascua
05301,Los Andes,05,Los Andes
05302,Calle Larga,05,Los Andes
05303,Rinconada,05,Los Andes
05304,San Esteban,05,Los Andes
05401,La Ligua,05,Petorca
05402,Cabildo,05,Petorca
05403,Papudo,05,Petorca
05404,Petorca,05,Petorca
05405,Zapallar,05,Petorca
05501,Quillota,05,Quillota
05502,Calera,05,Quillota
05503,Hijuelas,05,Quillota
05504,La Cruz,05,Quillota
05506,Nogales,05,Quillota
05601,San Antonio,05,San Antonio
05602,Algarrobo,05,San Antonio
05603,Cartagena,05,San Antonio
05604,El Quisco,05,San Antonio
05605,El Tabo,05,San Antonio
05606,Santo Domingo,05,San Antonio
05701,San Felipe,05,San Felipe de Aconcagua
05702,Catemu,05,San Felipe de Aconcagua
05703,Llaillay,05,San Felipe de Aconcagua
05704,Panquehue,05,San Felipe de Aconcagua
05705,Putaendo,05,San Felipe de Aconcagua
05706,Santa María,05,San Felipe de Aconcagua
05801,Quilpué,05,Marga Marga
05802,Limache,05,Marga Marga
05803,Olmué,05,Marga Marga
05804,Villa Alemana,05,Marga Marga
06101,Rancagua,06,Cachapoal
06102,Codegua,06,Cachapoal
06103,Coinco,06,Cachapoal
06104,Coltauco,06,Cachapoal
06105,Doñihue,06,Cachapoal
06106,Graneros,06,Cachapoal
06107,Las Cabras,06,Cachapoal
06108,Machalí,06,Cachapoal
06109,Malloa,06,Cachapoal
06110,Mostazal,06,Cachapoal
06111,Olivar,06,Cachapoal
06112,Peumo,06,Cachapoal
06113,Pichidegua,06,Cachapoal
06114,Quinta de Tilcoco,06,Cachapoal
06115,Rengo,06,Cachapoal
06116,Requínoa,06,Cachapoal
06117,San Vicente,06,Cachapoal
06201,Pichilemu,06,Cardenal Caro
06202,La Estrella,06,Cardenal Caro
06203,Litueche,06,Cardenal Caro
06204,Marchihue,06,Cardenal Caro
